NOME_PRODUTO;PRINCIPIO_ATIVO;EMPRESA;CLASSE_TERAPEUTICA;NUMERO_REGISTRO
piperaciclina sódica + tazobactam sódico;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;PENICILINAS PENICILINASE-RESISTENTES;100470621
piperacilina sódica + tazobactam sódico;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;PENICILINAS PENICILINASE-RESISTENTES;100430810
promestrieno;PROMESTRIENO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ESTROGENOS SIMPLES;100431140
propilenoglicolato de dapagliflozina + cloridrato de saxagliptina;CLORIDRATO DE SAXAGLIPTINA DI-HIDRATADA + PROPILENOGLICOLATO DE DAPAGLIFLOZINA MONOIDRATADO;60318797000100 - ASTRAZENECA DO BRASIL LTDA;ANTIDIABETICOS;116180287
propilenoglicolato de dapagliflozina +cloridrato de metformina;CLORIDRATO DE METFORMINA + PROPILENOGLICOLATO DE DAPAGLIFLOZINA MONOIDRATADO;60318797000100 - ASTRAZENECA DO BRASIL LTDA;ANTIDIABETICOS;116180289
ramelteona;RAMELTEONA;62462015000129 - APSEN FARMACEUTICA S/A;HIPNÓTICOS E SEDATIVOS;101180634
ramipril;RAMIPRIL;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTI-HIPERTENSIVOS;183260185
renflexis;INFLIXIMABE;24563776000188 - SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.;ANTINFLAMATORIOS;159210002
rivaroxabana;RIVAROXABANA;57507378000365 - EMS S/A;ANTITROMBOTICO;102351265
rivastigmina;RIVASTIGMINA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;105730771
rousuvastatina cálcica;ROSUVASTATINA CÁLCICA;48113906000149 - 1FARMA INDUSTRIA FARMACEUTICA LTDA;ANTILIPEMICOS;104810151
sidelg;ORLISTATE;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ORLISTATE;183260292
soro antiaracnídico (Loxosceles, Phoneutria e Tityus);IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE LOXOSCELES GAUCHO + IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE PHONEUTRIA NIGRIVENTER + IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE TITYUS SERRULATUS;61821344000156 - INSTITUTO BUTANTAN;SOROS IMUNOPROTETORES;122340012
soro antibotrópico-laquético;IMUNOGLOBULINA HETEÓLOGA CONTRA O VENENO DE LACHESIS MUTA + IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP;61821344000156 - INSTITUTO BUTANTAN;SOROS IMUNOPROTETORES;122340004
succinato de solifenacina;SUCCINATO DE SOLIFENACINA;57507378000365 - EMS S/A;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;102351233
succinato de sumatriptana;SUCCINATO DE SUMATRIPTANA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANALGESICOS CONTRA ENXAQUECA;109740339
succinato sódico de cloranfenicol;SUCCINATO SÓDICO DE CLORANFENICOL;49324221000104 - FRESENIUS KABI BRASIL LTDA;CLORANFENICOL E ANALOGOS;100410201
succinato sódico de metilprednisolona;SUCCINATO SÓDICO DE METILPREDNISOLONA;58430828000160 - BLAU FARMACÊUTICA S.A.;GLICOCORTICOIDES SISTEMICOS;116370157
sugamadex sódico;SUGAMADEX SÓDICO;58430828000160 - BLAU FARMACÊUTICA S.A.;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;116370170
sulbactam sódico + ampicilina sódica;AMPICILINA SÓDICA + SULBACTAM SÓDICO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTIBIOTICOS SISTEMICOS SIMPLES;100430793
sulfametoxazol+trimetoprima;SULFAMETOXAZOL + TRIMETOPRIMA;30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;103920170
sulfato de atropina;SULFATO DE ATROPINA MONOIDRATADO;19570720000110 - HIPOLABOR FARMACEUTICA LTDA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS;113430132
sulfato de glicosamina;SULFATO DE GLICOSAMINA;00923140000131 - EMS SIGMA PHARMA LTDA;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;135690555
sulfato de hidroxicloroquina;SULFATO DE HIDROXICLOROQUINA;57507378000365 - EMS S/A;ANTIMALÁRICOS;102351269
tacrolimo monoidratado;TACROLIMO MONOIDRATADO;24633934000129 - CAMBER FARMACEUTICA LTDA;IMUNOSUPRESSOR;165070018
tartarato de brimonidina + maleato de timolol;MALEATO DE TIMOLOL + TARTARATO DE BRIMONIDINA;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ANTIGLAUCOMATOSOS;104971400
tartarato de brimonidina+maleato de timolol;MALEATO DE TIMOLOL + TARTARATO DE BRIMONIDINA;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ANTIGLAUCOMATOSOS;155840410
telmisartana + hidroclorotiazida;HIDROCLOROTIAZIDA + TELMISARTANA;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;155840498
telmisartana+hidroclorotiazida;HIDROCLOROTIAZIDA + TELMISARTANA;57507378000365 - EMS S/A;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;102351228
teste vencimento;ÁGUA;11111111000191 - EMPRESA DE TESTE LTDA. (VS01);ABACAVIR;167250015
teuvart;VALSARTANA;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTI-HIPERTENSIVOS SIMPLES;103700732
ticagrelor;TICAGRELOR;57507378000365 - EMS S/A;ANTIAGREGANTE PLAQUETARIO;102351242
tigeciclina;TIGECICLINA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTIBIOTICOS SISTEMICOS SIMPLES;100431232
tobramicina + dexametasona;DEXAMETASONA + TOBRAMICINA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;105730644
tretinoína;TRETINOÍNA;57507378000365 - EMS S/A;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;102351275
