NOME_PRODUTO;PRINCIPIO_ATIVO;EMPRESA;CLASSE_TERAPEUTICA;NUMERO_REGISTRO
A SAÚDE DA MULHER;EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA + EXTRATO FLUIDO DE PASSIFLORA ALATA + SALICILATO DE SÓDIO + TINTURA AGONIADA PLUMÉRIA;57507378000365 - EMS S/A;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC MEDICAMENTOSAS;102351059
AAS;ACIDO ACETILSALICILICO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANALGESICOS NAO NARCOTICOS;183260386
AAS PROTECT;ÁCIDO ACETILSALICÍLICO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTIAGREGANTE PLAQUETARIO;183260387
ABBA;ACETATO DE ABIRATERONA;05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA;AGENTES ANTINEOPLÁSICOS;146820078
ABC;CLOTRIMAZOL;92695691000103 - KLEY HERTZ FARMACEUTICA S.A;ANTIMICOTICOS PARA USO TOPICO;106890153
ABCLER ABNAT;BETAÍNA + CITRATO DE COLINA + DL-METIONINA + LEVOMETIONINA;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;144930011
ABERALGINA;DIPIRONA;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;ANALGESICOS NAO NARCOTICOS;144930010
ABLOK;ATENOLOL;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;BETABLOQUEADORES SIMPLES;109740100
ABLOK PLUS;ATENOLOL + CLORTALIDONA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTI-HIPERTENSIVOS;109740092
ABRETIA;CLORIDRATO DE DULOXETINA;33349473000158 - FARMOQUÍMICA S/A;ANTIDEPRESSIVOS;103900192
ABRIFIT;HEDERA HELIX L.;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES;154230216
ABRILAR;HEDERA HELIX L.;33349473000158 - FARMOQUÍMICA S/A;EXPECTORANTES + FITOTERAPICO SIMPLES;103900141
ACALMILFITO;CRATAEGUS RHIPIDOPHYLLA GAND. + PASSIFLORA INCARNATA L. + VALERIANA OFFICINALIS L.;92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO;118190216
ACCUVIT;ACETATO DE RACEALFATOCOFEROL + BETACAROTENO + OXIDO CUPRICO + RIBOFLAVINA + SELENATO DE SÓDIO + ÁCIDO ASCÓRBICO + ÓXIDO CÚPRICO + ÓXIDO DE ZINCO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VITAMINAS E SUPLEMENTOS MINERAIS;105730206
ACEBROFILINA;ACEBROFILINA;73856593000166 - PRATI DONADUZZI & CIA LTDA;BRONCODILATADORES;125680159
ACECLOFENACO;ACECLOFENACO;73663650000190 - RANBAXY FARMACÊUTICA LTDA;ANTINFLAMATORIOS;123520100
ACEFLOR;ACECLOFENACO;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTINFLAMATORIOS;126750290
ACERATUM;PERÓXIDO DE URÉIA;33173097000274 - CELLERA FARMACÊUTICA S.A.;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA;104400005
ACERTALIX;INDAPAMIDA + PERINDOPRIL ARGININA;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;ANTI-HIPERTENSIVOS;112780077
ACERTANLO;BESILATO DE ANLODIPINO + PERINDOPRIL ARGININA;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;ANTI-HIPERTENSIVOS;112780075
ACERTIL;PERINDOPRIL ARGININA;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;ANTI-HIPERTENSIVOS;112780074
ACESYL;CLORIDRATO DE TIAMINA;05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;VITAMINAS E SUPLEMENTOS MINERAIS;164000001
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTINEOPLASICO;100431245
ACETATO DE CIPROTERONA + ETINILESTRADIOL;ACETATO DE CIPROTERONA;61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS;106460069
ACETATO DE CIPROTERONA+ETINILESTRADIOL;ACETATO DE CIPROTERONA + ETINILESTRADIOL;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;155840400
ACETATO DE CLORMADINONA + ETINILESTRADIOL;ACETATO DE CLORMADINONA + ETINILESTRADIOL;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTICONCEPCIONAIS;126750408
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;CERATOLITICOS E CERATOPLASTICOS;183260226
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;73856593000166 - PRATI DONADUZZI & CIA LTDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;125680126
ACETATO DE HIDROCORTISONA;ACETATO DE HIDROCORTISONA;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;104971333
ACETATO DE PREDNISOLONA;ACETATO DE PREDNISOLONA;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;154230190
ACETATO DE SÓDIO;ACETATO DE SÓDIO TRI-HIDRATADO;05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;ELETROLITOS SIMPLES;164000004
ACETAZONA;ACETATO DE DEXAMETASONA + DEXAMETASONA;06597801000162 - THEODORO F SOBRAL & CIA LTDA;GLICOCORTICOIDES SISTEMICOS;109630046
ACETICIL;ÁCIDO ACETILSALICÍLICO;44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;ANALGESICOS;107150069
ACETILCISTEINA;ACETILCISTEÍNA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;EXPECTORANTES BALSAMICOS E MUCOLITICO;100430772
ACETILCISTEÍNA;ACETILCISTEÍNA;73856593000166 - PRATI DONADUZZI & CIA LTDA;EXPECTORANTES BALSAMICOS E MUCOLITICO;125680100
ACETONIDA DE TRIANCINOLONA;ACETONIDA DE TRIANCINOLONA;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;154230131
ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA + TRIANCINOLONA ACETONIDA;57507378000365 - EMS S/A;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;102350651
ACEVITON;ÁCIDO ASCÓRBICO;02814497000107 - CIMED INDUSTRIA S.A;VITAMINAS;143810165
ACEZO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SUPRESSORES DA REABSORCAO OSSEA;102980564
ACFOL;ÁCIDO FÓLICO;44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;ANTIANEMICOS;107150066
ACHEFLAN;CORDIA VERBENACEA DC.;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES;105730341
ACICLOMAX;CLORIDRATO DE VALACICLOVIR;33349473000158 - FARMOQUÍMICA S/A;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);103900124
ACICLOMED;ACICLOVIR;02814497000107 - CIMED INDUSTRIA S.A;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);143810023
ACICLOR;ACICLOVIR;92695691000103 - KLEY HERTZ FARMACEUTICA S.A;ANTIVIROTICOS;106890110
ACICLOVIR;;33258450000138 - KNOLL PRODUTOS QUIMICOS E FARMACEUTICOS LTDA;ANTIVIROTICOS;101160144
ACIDO ACETILSALICILICO;ÁCIDO ACETILSALICÍLICO;57507378000365 - EMS S/A;ANALGESICOS NAO NARCOTICOS;102350508
ACIDO MEFENAMICO;ÁCIDO MEFENÂMICO;48344725000719 - ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;ANTINFLAMATORIOS ANTIREUMATICOS;135170062
ACIDO TRANEXAMICO;ÁCIDO TRANEXÂMICO;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ANTIFIBRINOLITICOS;167730151
ACIDO ZOLEDRONICO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;58430828000160 - BLAU FARMACÊUTICA S.A.;SUPRESSORES DA REABSORCAO OSSEA;116370129
ACIVIRAX;ACICLOVIR;17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;ANTIVIROTICOS;115600082
ACLAF;AMOXICILINA TRI-HIDRATADA + CLAVULANATO DE POTÁSSIO;83874628000143 - LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;103850115
ACLASTA;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;56994502000130 - NOVARTIS BIOCIENCIAS S.A;SUPRESSORES DA REABSORCAO OSSEA;100681026
ACNASE;ENXOFRE + PERÓXIDO DE BENZOÍLA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;PRODUTOS ANTI-ACNE;109740239
ACNIL;ISOTRETINOÍNA;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;PRODUTOS ANTI-ACNE;102980329
ACNOVA;ISOTRETINOÍNA;45992062000165 - GERMED FARMACEUTICA LTDA;PRODUTOS ANTI-ACNE;105830844
ACOG;RIVAROXABANA;33078528000132 - TORRENT DO BRASIL LTDA;;105250085
ACTIFEDRIN;CLORIDRATO DE PSEUDOEFEDRINA + CLORIDRATO DE TRIPROLIDINA;33349473000158 - FARMOQUÍMICA S/A;ANTI-HISTAMINICOS SISTEMICOS;103900155
ACTILYSE;ALTEPLASE;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE;103670049
ACTIVE PLUS;SENNA ALEXANDRINA MILL.;33223157000135 - MAKROFARMA QUIMICA FARMACEUTICA LTDA;;111990031
ACTONEL;RISEDRONATO SÓDICO;09058502000148 - FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA;SUPRESSORES DA REABSORCAO OSSEA;174650009
ACU FRESH;CARMELOSE SÓDICA;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;154230230
ACU FRESH G;CARMELOSE SÓDICA + GLICEROL;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;EMOLIENTES E PROTETORES OFTALMICOS;154230322
ACULAR;TROMETAMOL CETOROLACO;43426626000177 - ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;ANTINFLAMATORIOS;101470046
AD FURP;COLECALCIFEROL + PALMITATO DE RETINOL + ÓXIDO DE ZINCO;43640754000119 - FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;110390022
AD-MUC;MATRICARIA RECUTITA L.;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES;109740172
AD-TIL;ACETATO DE RETINOL + COLECALCIFEROL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;POLIVITAMINICOS SEM MINERAIS;178170914
AD-VITAM;ACETATO DE RETINOL + COLECALCIFEROL;02456955000183 - NATULAB LABORATÓRIO S.A;POLIVITAMINICOS SEM MINERAIS;138410065
ADACEL;AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3 + HEMAGLUTININA FILAMENTOSA + PERTACTINA + TOXÓIDE TETÂNICO + TOXÓIDE DIFTÉRICO + TOXÓIDE PERTUSSIS;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;VACINAS;183260400
ADACNE;ADAPALENO;44363661000157 - GLENMARK FARMACÊUTICA LTDA;PRODUTOS ANTI-ACNE;110130230
ADACNE CLIN;ADAPALENO + FOSFATO DE CLINDAMICINA;44363661000157 - GLENMARK FARMACÊUTICA LTDA;PRODUTOS ANTI-ACNE;110130249
ADALAT;NIFEDIPINO;18459628000115 - BAYER S.A.;ANTIANGINOSOS E VASODILATADORES;170560052
ADAPALENO;ADAPALENO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;PRODUTOS ANTI-ACNE;183260039
ADAPTIS GEL;CARBÔMER 940;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;167730625
ADCETRIS;BRENTUXIMABE VEDOTINA;60397775000174 - TAKEDA PHARMA LTDA.;ANTINEOPLASICO;106390269
ADDAVEN;CLORETO CRÔMICO HEXAIDRATADO + CLORETO CÚPRICO + CLORETO DE ZINCO + CLORETO FÉRRICO + FLUORETO DE SÓDIO + IODETO DE POTÁSSIO + SELENITO DE SÓDIO + DICLORETO DE MANGANÊS TETRAIDRATADO + MOLIBDATO DE SÓDIO DIIDRATADO;49324221000104 - FRESENIUS KABI BRASIL LTDA;NUTRIENTES PARENTERAIS;100410165
ADDERA D3;COLECALCIFEROL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANALOGO SINTETICO DA VITAMINA D;178170028
ADEFORTE;ACETATO DE RACEALFATOCOFEROL + COLECALCIFEROL + PALMITATO DE RETINOL;33145194000172 - LABORATÓRIO GROSS S. A.;POLIVITAMINICOS SEM MINERAIS;104440113
ADENOCARD;ADENOSINA;61230314000175 - LIBBS FARMACÊUTICA LTDA;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO;100330038
ADENON;BARYTA CARBONICA + BERBERIS VULGARIS L. + CALCAREA CARBONICA + MERCURIUS SULPHURATUS RUBER;56992217000180 - WELEDA DO BRASIL LABORATÓRIO E FARMÁCIA LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;100610007
ADENOSINA;ADENOSINA;19570720000110 - HIPOLABOR FARMACEUTICA LTDA;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO;113430182
ADILOZ;LINEZOLIDA;57507378000365 - EMS S/A;ANTIBIOTICOS SISTEMICOS SIMPLES;102351223
ADINOS;DESONIDA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;105730378
ADINOS GEN;DESONIDA + SULFATO DE GENTAMICINA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;105730407
ADIPEPT;PANTOPRAZOL;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIACIDOS E ANTIULCEROSOS;105730462
ADLYV;IBUPROFENO;02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;ANALGESICOS NAO NARCOTICOS;141070637
ADMELOG;INSULINA LISPRO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTIDIABETICOS;183260412
ADOLESS;ETINILESTRADIOL + GESTODENO;33349473000158 - FARMOQUÍMICA S/A;ANTICONCEPCIONAIS;103900140
ADORLAN;CLORIDRATO DE TRAMADOL + DICLOFENACO SÓDICO;10555143000113 - GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.;ANALGESICOS NARCOTICOS;186100017
ADREN;EPINEFRINA;19570720000110 - HIPOLABOR FARMACEUTICA LTDA;MEDICAMENTOS C/ ACAO NO MIOCARDIO;113430001
ADVANTAN;ACEPONATO DE METILPREDNISOLONA;11424477000110 - LEO PHARMA LTDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;185690010
ADVATE;ALFAOCTOCOGUE;60397775000174 - TAKEDA PHARMA LTDA.;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE;106390288
ADVIL;IBUPROFENO;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;ANALGESICOS NAO NARCOTICOS;101070347
ADYNOVATE;ALFARURIOCTOCOGUE PEGOL;60397775000174 - TAKEDA PHARMA LTDA.;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE;106390297
AERODINI;SULFATO DE SALBUTAMOL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;BRONCODILATADORES;103700096
AERODIVENT;BROMETO DE IPRATRÓPIO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;BRONCODILATADORES;103700631
AEROFRIN;SULFATO DE SALBUTAMOL MICRONIZADO;25773037000183 - PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;BRONCODILATADORES;117170009
AEROLIN;SOLUCAO DE SALBUTAMOL + SULFATO DE SALBUTAMOL;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;BRONCODILATADORES;101070226
AEROTRAT;SULFATO DE SALBUTAMOL;44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;BRONCODILATADORES;107150015
AFINITOR;EVEROLIMO;56994502000130 - NOVARTIS BIOCIENCIAS S.A;ANTINEOPLASICO;100681065
AFOLIC;ÁCIDO FÓLICO;02456955000183 - NATULAB LABORATÓRIO S.A;ANTIANEMICOS SIMPLES;138410050
AFOLIC INFANTIL;ÁCIDO FÓLICO;02456955000183 - NATULAB LABORATÓRIO S.A;ANTIANEMICOS SIMPLES;138410045
AFOPIC;ÁCIDO FÓLICO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTIANEMICOS;103700157
AFRAT;IBANDRONATO DE SÓDIO;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;SUPRESSORES DA REABSORCAO OSSEA;102980425
AFREZZA;INSULINA HUMANA;04752991000110 - BIOMM SA;ANTIDIABETICOS;133480002
AFRIN;CLORIDRATO DE OXIMETAZOLINA;18459628000115 - BAYER S.A.;DESCONGESTIONANTES NASAIS TOPICOS;170560112
AFSTYLA;ALFALONOCTOCOGUE;62969589000198 - CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;OUTROS PRODUTOS ANTI-HEMORRAGICOS;101510130
AFTINE;CLORIDRATO DE PROCAÍNA + MENTOL + SULFATO DE NEOMICINA + TARTARATO DE BISMUTO E SÓDIO;17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;PRODUTOS PARA OROFARINGE;115600080
AGAROL;AGAR-AGAR + PICOSSULFATO DE SÓDIO + ÓLEO MINERAL LEVE;59748988000114 - JOHNSON & JOHNSON INDUSTRIAL LTDA.;LAXANTES IRRITANTES OU ESTIMULANTES;157210003
AGIOLAX;PLANTAGO OVATA FORSSK. + SENNA ALEXANDRINA MILL.;11643096000122 - MYLAN LABORATORIOS LTDA;LAXANTES INCREMENTADORES DO BOLO INTESTINAL;188300049
AGLITIL;CLORIDRATO DE PIOGLITAZONA;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTIDIABETICOS;126750390
AGLUCOSE;ACARBOSE;00923140000131 - EMS SIGMA PHARMA LTDA;ANTIDIABETICOS;135690035
AGOXOM;AGOMELATINA;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;ANTIDEPRESSIVOS;112780082
AGRASTAT;CLORIDRATO DE TIROFIBANA;02433631000120 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ANTIAGREGANTE PLAQUETARIO;137640120
AGRYLIN;CLORIDRATO DE ANAGRELIDA;60397775000174 - TAKEDA PHARMA LTDA.;OUTROS AGENTES ANTINEOPLÁSICOS;106390302
AGUA INGLESA CATARINENSE;CINCHONA CALISAYA WEDD.;84684620000187 - LABORATORIO CATARINENSE LTDA;FITOTERAPICO COMPOSTO;100660002
AGUA PARA INJETAVEIS;ÁGUA PARA INJETÁVEIS;58430828000160 - BLAU FARMACÊUTICA S.A.;DILUENTES E VEICULOS DE MEDICAMENTOS;116370084
AGUA PARA INJEÇAO;ÁGUA PARA INJEÇÃO;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;DILUENTES E VEICULOS DE MEDICAMENTOS;102980539
AGUA PARA INJEÇÃO;ÁGUA ESTÉRIL PARA INJEÇÃO + ÁGUA PARA INJEÇÃO;01784792000103 - EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;DILUENTES E VEICULOS DE MEDICAMENTOS;117720024
AGUD;FOSFATO DE CODEÍNA + PARACETAMOL;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANALGESICOS NARCOTICOS;109740273
AH-ZUL;CITRATO DE SILDENAFILA;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;VASODILATADORES;167730460
AILUK;DIPROPIONATO DE BECLOMETASONA;44363661000157 - GLENMARK FARMACÊUTICA LTDA;ANTIASMATICOS;110130293
AIPRI;ARIPIPRAZOL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANTIPSICOTICOS;178170852
AIRES;ACETILCISTEÍNA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;EXPECTORANTES BALSAMICOS E MUCOLITICO;100431371
AIXA;ACETATO DE CLORMADINONA + ETINILESTRADIOL;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTICONCEPCIONAIS;183260006
AJOVY;FREMANEZUMABE;05333542000108 - TEVA FARMACÊUTICA LTDA.;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;155730050
AKALMESE;PASSIFLORA INCARNATA L.;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES;144930061
AKSSUS;PACLITAXEL;61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ANTINEOPLASICO;106460217
AKYNZEO;CLORIDRATO DE PALONOSETRONA + NETUPITANTO;15127898000130 - MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA;ANTIEMÉTICOS E ANTINAUSEANTES;191980008
ALANDRE;DIENOGESTE;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;PROGESTAGENOS SIMPLES;167730666
ALBEL;ALBENDAZOL;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;154230044
ALBENDAZOL;ALBENDAZOL;73856593000166 - PRATI DONADUZZI & CIA LTDA;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;125680029
ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL;ALBENDAZOL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;103700313
ALBENTEL;ALBENDAZOL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;103700676
ALBISTIN;NISTATINA;44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;ANTIMICOTICO;107150112
ALBOCRESIL;POLICRESULENO + POLICRESULENO A 36%;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;PRODUTOS GINECOLOGICOS ANTINFECCIOSOS TOPICOS SIMPLES;178170908
ALBUMAX;ALBUMINA HUMANA;58430828000160 - BLAU FARMACÊUTICA S.A.;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;116370049
ALBUMINA HUMANA;;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;102980204
ALBUMINA HUMANA GRIFOLS;ALBUMINA HUMANA;02513899000171 - GRIFOLS BRASIL LTDA;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;136410001
ALBUMINA HUMANA HEMOBRÁS;ALBUMINA HUMANA;07607851000146 - EMPRESA BRASILEIRA DE HEMODERIVADOS E BIOTECNOLOGIA;SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO;193040002
ALBUMINA SÉRICA HUMANA NORMAL;ALBUMINA HUMANA;60397775000174 - TAKEDA PHARMA LTDA.;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;106390295
ALBUNEX;;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;113980011
ALCACHOFRA HERBARIUM;CYNARA SCOLYMUS L.;78950011000120 - HERBARIUM LABORATORIO BOTANICO LTDA;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES;118600042
ALCACHOFRA ASPEN PHARMA;CYNARA SCOLYMUS L.;02433631000120 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;COLAGOGOS E COLERETICOS;137640116
ALCACHOFRA MULTILAB;CYNARA SCOLYMUS L.;92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;COLAGOGOS E COLERETICOS;118190119
ALCACHOFRA NATULAB;CYNARA SCOLYMUS L.;02456955000183 - NATULAB LABORATÓRIO S.A;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES;138410056
ALCACHOFRA VIDORA;CYNARA SCOLYMUS L.;92762277000170 - VIDORA FARMACÊUTICA LTDA;COLAGOGOS E COLERETICOS;104730042
ALCACHOFRA VITAMED;CYNARA SCOLYMUS L.;29346301000153 - LABORATÓRIO FARMACÊUTICO VITAMED LTDA;COLAGOGOS E COLERETICOS;116950040
ALCACHOFRAX;CYNARA SCOLYMUS L.;84684620000187 - LABORATORIO CATARINENSE LTDA;COLAGOGOS E COLERETICOS;100663378
ALCAGEST;CYNARA SCOLYMUS L.;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES;144930033
ALCAHERB;CYNARA SCOLYMUS L.;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES;105730741
ALCYTAM;BROMIDRATO DE CITALOPRAM;33078528000132 - TORRENT DO BRASIL LTDA;ANTIDEPRESSIVOS;105250016
